Antigüedad,Calificacion,Empresa,Pais,CodigoCliente,PuntajeOriginal,Puesto,Tema,Dispositivo
19,baja,Mediana,Chile,10000575,2,Publicidad,caracteristicas,PC
28,baja,Mediana,Chile,10000577,5,Publicidad,caracteristicas,PC
19,baja,Mediana,Chile,10000626,2,Publicidad,velocidad,Tableta
6,baja,Mediana,Chile,10000628,4,Publicidad,precio,Tableta
27,baja,Mediana,Chile,10000629,1,Publicidad,caracteristicas,PC
17,baja,Mediana,Chile,10000633,5,Publicidad,uso,Movil
24,baja,Mediana,Chile,10000636,5,Publicidad,uso,Movil
0,alta,Mediana,Chile,10000637,9,Publicidad,confiabilidad,PC
0,baja,Mediana,Chile,10000640,1,Publicidad,caracteristicas,Tableta
28,alta,Mediana,Chile,10000648,8,Publicidad,confiabilidad,Movil
13,alta,Mediana,Chile,10000652,8,Publicidad,confiabilidad,Tableta
28,baja,Mediana,Chile,10000653,3,Publicidad,caracteristicas,PC
25,baja,Mediana,Chile,10000657,4,Publicidad,precio,Movil
1,alta,Mediana,Chile,10000664,8,Publicidad,velocidad,Movil
19,baja,Mediana,Chile,10000676,4,Publicidad,uso,Tableta
44,baja,Mediana,Chile,10000685,4,Publicidad,servicios,PC
23,alta,Mediana,Chile,10000689,10,Publicidad,confiabilidad,Movil
24,alta,Mediana,Chile,10000708,8,Publicidad,confiabilidad,Movil
23,baja,Mediana,Chile,10000720,5,Publicidad,precio,Movil
13,alta,Mediana,Chile,10000733,10,Publicidad,precio,Movil
13,alta,Mediana,Chile,10000735,8,Publicidad,confiabilidad,PC
22,alta,Mediana,Chile,10000739,9,Publicidad,confiabilidad,PC
5,alta,Mediana,Chile,10000753,6,Publicidad,uso,PC
6,baja,Mediana,Chile,10000757,2,Publicidad,caracteristicas,Tableta
15,alta,Mediana,Chile,10000768,7,Publicidad,caracteristicas,Tableta
20,alta,Mediana,Chile,10000775,6,Publicidad,precio,PC
16,alta,Mediana,Chile,10000778,9,Publicidad,precio,Movil
28,alta,Mediana,Chile,10000788,6,Publicidad,precio,Movil
10,alta,Mediana,Chile,10000811,10,Publicidad,servicios,PC
0,alta,Mediana,Chile,10000819,10,Publicidad,caracteristicas,Tableta
19,baja,Mediana,Chile,10000821,1,Publicidad,servicios,Movil
7,baja,Mediana,Chile,10000826,2,Publicidad,precio,Tableta
13,alta,Mediana,Chile,10000827,6,Publicidad,caracteristicas,PC
4,baja,Mediana,Chile,10000829,5,Publicidad,servicios,Movil
29,baja,Mediana,Chile,10000834,4,Publicidad,servicios,Movil
16,baja,Mediana,Chile,10000839,2,Publicidad,confiabilidad,Tableta
,baja,Mediana,Chile,10000851,4,Publicidad,precio,PC
6,alta,Mediana,Chile,10000855,10,Publicidad,confiabilidad,Movil
24,alta,Mediana,Chile,10000873,7,Publicidad,uso,Movil
11,alta,Mediana,Chile,10000881,10,Publicidad,confiabilidad,Movil
11,baja,Mediana,Chile,10000887,5,Publicidad,servicios,Movil
5,baja,Mediana,Chile,10000892,3,Publicidad,confiabilidad,PC
12,baja,Mediana,Chile,10000896,2,Publicidad,confiabilidad,PC
12,alta,Mediana,Chile,10000898,10,Publicidad,precio,PC
27,alta,Mediana,Chile,10000923,8,Publicidad,servicios,Tableta
10,baja,Mediana,Chile,10000924,3,Publicidad,precio,Tableta
11,alta,Mediana,Chile,10000930,8,Publicidad,caracteristicas,PC
23,alta,Mediana,Chile,10000948,9,Publicidad,servicios,Movil
1,alta,Mediana,Chile,10000950,6,Publicidad,servicios,Movil
29,alta,Mediana,Chile,10000956,9,Publicidad,confiabilidad,PC
21,alta,Mediana,Chile,10000962,9,Publicidad,caracteristicas,Tableta
7,baja,Mediana,Chile,10000966,4,Publicidad,navegacion,Movil
6,baja,Mediana,Chile,10000973,5,Publicidad,precio,Tableta
26,baja,Mediana,Chile,10000980,1,Publicidad,caracteristicas,PC
29,baja,Mediana,Chile,10000986,4,Publicidad,servicios,Movil
23,baja,Mediana,Chile,10000993,2,Publicidad,confiabilidad,Movil
24,baja,Mediana,Chile,10001015,5,Publicidad,precio,Tableta
13,baja,Mediana,Chile,10001030,3,Publicidad,caracteristicas,PC
13,baja,Mediana,Chile,10001033,2,Publicidad,uso,Movil
20,alta,Mediana,Chile,10001040,10,Publicidad,servicios,Movil
3,alta,Mediana,Chile,10001045,9,Publicidad,servicios,Movil
19,alta,Mediana,Chile,10001054,7,Publicidad,precio,Movil
8,baja,Mediana,Chile,10001058,2,Publicidad,precio,PC
24,baja,Mediana,Chile,10001062,3,Publicidad,caracteristicas,PC
15,baja,Mediana,Chile,10001073,2,Publicidad,precio,PC
1,alta,Mediana,Chile,10001079,9,Publicidad,servicios,Tableta
16,baja,Mediana,Chile,10001082,2,Publicidad,precio,Tableta
24,alta,Mediana,Chile,10001084,9,Publicidad,servicios,PC
15,alta,Mediana,Chile,10001089,6,Publicidad,servicios,Movil
13,alta,Mediana,Chile,10001090,10,Publicidad,confiabilidad,Movil
12,alta,Mediana,Chile,10001109,9,Publicidad,confiabilidad,PC
9,baja,Mediana,Chile,10001122,1,Publicidad,servicios,Tableta
29,alta,Mediana,Chile,10001124,6,Publicidad,confiabilidad,Movil
21,alta,Mediana,Chile,10001132,7,Publicidad,confiabilidad,Tableta
23,baja,Mediana,Chile,10001137,3,Publicidad,confiabilidad,PC
11,baja,Mediana,Chile,10001141,2,Publicidad,confiabilidad,Movil
23,baja,Mediana,Chile,10001144,4,Publicidad,caracteristicas,Movil
3,baja,Mediana,Chile,10001147,1,Publicidad,precio,Tableta
18,baja,Mediana,Chile,10001170,2,Publicidad,confiabilidad,PC
26,baja,Mediana,Chile,10001175,3,Publicidad,diseño,Movil
12,alta,Mediana,Chile,10001176,6,Publicidad,navegacion,Movil
,baja,Mediana,Chile,10001179,3,Publicidad,caracteristicas,Movil
3,baja,Mediana,Chile,10001190,4,Publicidad,confiabilidad,Movil
5,alta,Mediana,Chile,10001191,6,Publicidad,precio,PC
14,alta,Mediana,Chile,10001193,9,Publicidad,confiabilidad,PC
11,baja,Mediana,Chile,10001195,5,Publicidad,confiabilidad,PC
18,baja,Mediana,Chile,10001199,2,Publicidad,uso,Tableta
4,baja,Mediana,Chile,10001205,4,Publicidad,confiabilidad,Tableta
5,baja,Mediana,Chile,10001209,3,Publicidad,precio,PC
4,alta,Mediana,Chile,10001220,7,Publicidad,caracteristicas,Movil
9,alta,Mediana,Chile,10001239,9,Publicidad,caracteristicas,Movil
26,alta,Mediana,Chile,10001241,6,Publicidad,precio,PC
22,alta,Mediana,Chile,10001252,9,Publicidad,precio,Tableta
,baja,Mediana,Chile,10001260,2,Publicidad,uso,Movil
,baja,Mediana,Chile,10001262,4,Publicidad,precio,Tableta
17,baja,Mediana,Chile,10001263,3,Publicidad,confiabilidad,PC
0,alta,Mediana,Chile,10001266,7,Publicidad,caracteristicas,Movil
25,baja,Mediana,Chile,10001283,1,Publicidad,caracteristicas,Movil
17,baja,Mediana,Chile,10001287,5,Publicidad,confiabilidad,Tableta
3,baja,Mediana,Chile,10001288,4,Publicidad,precio,PC
23,baja,Mediana,Chile,10001304,1,Publicidad,precio,Movil
25,alta,Mediana,Chile,10001310,8,Publicidad,uso,Movil
26,alta,Mediana,Chile,10001330,10,Publicidad,precio,Movil
14,baja,Mediana,Chile,10001333,5,Publicidad,confiabilidad,Movil
22,alta,Mediana,Chile,10001336,9,Publicidad,servicios,PC
20,baja,Mediana,Chile,10001347,5,Publicidad,confiabilidad,PC
4,alta,Mediana,Chile,10001353,8,Publicidad,confiabilidad,PC
14,baja,Mediana,Chile,10001358,5,Publicidad,precio,Tableta
16,baja,Mediana,Chile,10001365,2,Publicidad,servicios,Tableta
30,alta,Mediana,Chile,10001371,10,Publicidad,precio,PC
23,baja,Mediana,Chile,10001379,5,Publicidad,servicios,Movil
17,alta,Mediana,Chile,10001404,7,Publicidad,precio,Movil
13,alta,Mediana,Chile,10001405,6,Publicidad,precio,PC
46,alta,Mediana,Chile,10001409,10,Publicidad,caracteristicas,Tableta
,baja,Mediana,Chile,10001410,3,Publicidad,precio,Movil
3,alta,Mediana,Chile,10001418,7,Publicidad,servicios,Tableta
0,baja,Mediana,Chile,10001422,3,Publicidad,servicios,PC
11,alta,Mediana,Chile,10001440,10,Publicidad,caracteristicas,Movil
6,alta,Mediana,Chile,10001441,7,Publicidad,precio,Movil
17,alta,Mediana,Chile,10001445,6,Publicidad,confiabilidad,Tableta
7,alta,Mediana,Chile,10001453,7,Publicidad,caracteristicas,PC
24,baja,Mediana,Chile,10001474,4,Publicidad,caracteristicas,Movil
1,alta,Mediana,Chile,10001475,9,Publicidad,precio,Movil
28,alta,Mediana,Chile,10001478,10,Publicidad,uso,Movil
7,baja,Mediana,Chile,10001482,1,Publicidad,precio,Movil
21,alta,Mediana,Chile,10001483,10,Publicidad,confiabilidad,PC
19,baja,Mediana,Chile,10001494,3,Publicidad,navegacion,PC
26,baja,Mediana,Chile,10001495,5,Publicidad,caracteristicas,PC
17,baja,Mediana,Chile,10001503,3,Publicidad,otros,Tableta
6,baja,Mediana,Chile,10001510,2,Publicidad,navegacion,Tableta
18,baja,Mediana,Chile,10001515,1,Publicidad,servicios,PC
26,alta,Mediana,Chile,10001522,7,Publicidad,servicios,Movil
23,baja,Mediana,Chile,10001548,2,Publicidad,precio,Movil
5,alta,Mediana,Chile,10001558,6,Publicidad,precio,PC
3,alta,Mediana,Chile,10001576,6,Publicidad,servicios,Tableta
25,baja,Mediana,Chile,10001584,4,Publicidad,caracteristicas,Movil
5,alta,Mediana,Chile,10001585,7,Publicidad,caracteristicas,Tableta
1,alta,Mediana,Chile,10001597,7,Publicidad,caracteristicas,PC
17,baja,Mediana,Chile,10001601,1,Publicidad,confiabilidad,Movil
0,baja,Mediana,Chile,10001612,2,Publicidad,caracteristicas,Movil
21,baja,Mediana,Chile,10001618,3,Publicidad,caracteristicas,Tableta
,baja,Mediana,Chile,10001621,2,Publicidad,precio,PC
21,baja,Mediana,Chile,10001624,1,Publicidad,precio,Movil
5,baja,Mediana,Chile,10001643,5,Publicidad,precio,Movil
33,baja,Mediana,Chile,10001648,4,Publicidad,confiabilidad,Movil
9,baja,Mediana,Chile,10001652,4,Publicidad,servicios,Movil
,alta,Mediana,Chile,10001661,10,Publicidad,precio,PC
,alta,Mediana,Chile,10001663,10,Publicidad,servicios,PC
,alta,Mediana,Chile,10001666,6,Publicidad,precio,Movil
2,baja,Mediana,Chile,10001670,2,Publicidad,velocidad,Movil
20,alta,Mediana,Chile,10001672,9,Publicidad,servicios,PC
7,alta,Mediana,Chile,10001677,8,Publicidad,confiabilidad,Tableta
36,baja,Mediana,Chile,10001678,3,Publicidad,uso,Movil
9,alta,Mediana,Chile,10001689,7,Publicidad,soporte,Tableta
,alta,Mediana,Chile,10001693,9,Publicidad,servicios,PC
28,baja,Mediana,Chile,10001702,5,Publicidad,precio,Movil
16,baja,Mediana,Chile,10001703,2,Publicidad,precio,Movil
35,alta,Mediana,Chile,10001705,9,Publicidad,confiabilidad,Tableta
20,baja,Mediana,Chile,10001706,3,Publicidad,velocidad,PC
10,baja,Mediana,Chile,10001707,1,Publicidad,precio,Movil
39,baja,Mediana,Chile,10001708,2,Publicidad,confiabilidad,Movil
18,alta,Mediana,Chile,10001709,10,Publicidad,soporte,Movil
28,alta,Mediana,Chile,10001714,7,Publicidad,servicios,Movil
23,alta,Mediana,Chile,10001716,6,Publicidad,caracteristicas,PC
34,alta,Mediana,Chile,10001717,6,Publicidad,uso,PC
28,alta,Mediana,Chile,10001722,9,Publicidad,precio,Movil
24,alta,Mediana,Chile,10001723,8,Publicidad,confiabilidad,Movil
20,alta,Mediana,Chile,10001729,10,Publicidad,servicios,PC
15,alta,Mediana,Chile,10001732,8,Publicidad,navegacion,Tableta
25,alta,Mediana,Chile,10001736,9,Publicidad,caracteristicas,Movil
17,alta,Mediana,Chile,10001737,6,Publicidad,confiabilidad,Tableta
3,alta,Mediana,Chile,10001754,8,Publicidad,servicios,PC
18,baja,Mediana,Chile,10001755,3,Publicidad,confiabilidad,Movil
43,alta,Mediana,Chile,10001757,9,Publicidad,servicios,Movil
14,alta,Mediana,Chile,10001759,8,Publicidad,servicios,Tableta
27,baja,Mediana,Chile,10001760,3,Publicidad,precio,PC
13,alta,Mediana,Chile,10001763,6,Publicidad,confiabilidad,Movil
15,alta,Mediana,Chile,10001770,9,Publicidad,diseño,Movil
28,alta,Mediana,Chile,10001772,7,Publicidad,precio,Movil
13,baja,Mediana,Chile,10001778,4,Publicidad,velocidad,Movil
6,alta,Mediana,Chile,10001780,8,Publicidad,precio,PC
40,alta,Mediana,Chile,10001781,9,Publicidad,uso,PC
20,alta,Mediana,Chile,10001785,7,Publicidad,precio,Movil
17,baja,Mediana,Chile,10001786,3,Publicidad,precio,Movil
1,alta,Mediana,Chile,10001788,7,Publicidad,velocidad,PC
14,alta,Mediana,Chile,10001791,8,Publicidad,caracteristicas,Tableta
42,alta,Mediana,Chile,10001792,7,Publicidad,uso,Movil
,baja,Mediana,Chile,10001795,3,Publicidad,caracteristicas,Tableta
23,alta,Mediana,Chile,10001797,7,Publicidad,confiabilidad,PC
25,baja,Mediana,Chile,10001806,2,Publicidad,precio,Movil
9,baja,Mediana,Chile,10001812,1,Publicidad,precio,Movil
9,alta,Mediana,Chile,10001818,6,Publicidad,caracteristicas,Tableta
26,alta,Mediana,Chile,10001820,9,Publicidad,precio,PC
0,baja,Mediana,Chile,10001822,2,Publicidad,caracteristicas,Movil
11,baja,Mediana,Chile,10001825,5,Publicidad,precio,Movil
24,baja,Mediana,Chile,10001833,4,Publicidad,caracteristicas,Movil
27,baja,Mediana,Chile,10001838,4,Publicidad,precio,Movil
1,baja,Mediana,Chile,10001848,4,Publicidad,servicios,PC
27,baja,Mediana,Chile,10001849,3,Publicidad,caracteristicas,PC
46,baja,Mediana,Chile,10001852,2,Publicidad,servicios,Movil
11,alta,Mediana,Chile,10001867,9,Publicidad,caracteristicas,Movil
49,alta,Mediana,Chile,10001868,6,Publicidad,confiabilidad,PC
26,baja,Mediana,Chile,10001871,4,Publicidad,velocidad,Tableta
29,baja,Mediana,Chile,10001875,5,Publicidad,precio,Movil
15,alta,Mediana,Chile,10001877,7,Publicidad,confiabilidad,Tableta
19,baja,Mediana,Chile,10001878,1,Publicidad,confiabilidad,PC
3,alta,Mediana,Chile,10001881,8,Publicidad,precio,Movil
20,baja,Mediana,Chile,10001885,4,Publicidad,precio,Movil
44,alta,Mediana,Chile,10001887,10,Publicidad,uso,Tableta
6,alta,Mediana,Chile,10001889,9,Publicidad,servicios,PC
15,baja,Mediana,Chile,10001896,3,Publicidad,uso,Movil
22,alta,Mediana,Chile,10001898,6,Publicidad,servicios,Movil
17,baja,Mediana,Chile,10001899,2,Publicidad,confiabilidad,Movil
2,baja,Mediana,Chile,10001909,1,Publicidad,precio,Movil
6,alta,Mediana,Chile,10001911,7,Publicidad,precio,PC
18,baja,Mediana,Chile,10001916,2,Publicidad,confiabilidad,PC
2,alta,Mediana,Chile,10001917,7,Publicidad,servicios,Movil
30,baja,Mediana,Chile,10001922,2,Publicidad,confiabilidad,Movil
23,baja,Mediana,Chile,10001924,2,Publicidad,confiabilidad,PC
19,alta,Mediana,Chile,10001930,7,Publicidad,precio,Tableta
21,baja,Mediana,Chile,10001936,5,Publicidad,precio,Movil
8,baja,Mediana,Chile,10001938,2,Publicidad,confiabilidad,Tableta
6,alta,Mediana,Chile,10001948,6,Publicidad,caracteristicas,PC
9,alta,Mediana,Chile,10001960,8,Publicidad,servicios,Tableta
7,alta,Mediana,Chile,10001961,7,Publicidad,soporte,Movil
5,alta,Mediana,Chile,10001968,8,Publicidad,confiabilidad,Tableta
2,baja,Mediana,Chile,10001985,1,Publicidad,confiabilidad,PC
20,alta,Mediana,Chile,10001987,9,Publicidad,servicios,Tableta
15,alta,Mediana,Chile,10002006,10,Publicidad,confiabilidad,Movil
36,alta,Mediana,Chile,10002015,9,Publicidad,precio,Tableta
25,baja,Mediana,Chile,10002022,4,Publicidad,servicios,PC
32,alta,Mediana,Chile,10002031,7,Publicidad,caracteristicas,Tableta
27,alta,Mediana,Chile,10002033,10,Publicidad,servicios,Movil
23,alta,Mediana,Chile,10002036,7,Publicidad,confiabilidad,Tableta
12,alta,Mediana,Chile,10002041,10,Publicidad,servicios,PC
26,baja,Mediana,Chile,10002047,2,Publicidad,servicios,Tableta
21,alta,Mediana,Chile,10002050,10,Publicidad,servicios,Movil
5,baja,Mediana,Chile,10002051,5,Publicidad,precio,Tableta
11,alta,Mediana,Chile,10002053,8,Publicidad,precio,PC
,baja,Mediana,Chile,10002062,3,Publicidad,caracteristicas,Tableta
25,alta,Mediana,Chile,10002063,10,Publicidad,precio,Movil
1,baja,Mediana,Chile,10002075,5,Publicidad,soporte,Tableta
40,baja,Mediana,Chile,10002078,5,Publicidad,servicios,PC
1,alta,Mediana,Chile,10002081,7,Publicidad,confiabilidad,Tableta
20,alta,Mediana,Chile,10002083,10,Publicidad,caracteristicas,Movil
,alta,Mediana,Chile,10002091,7,Publicidad,precio,Tableta
29,baja,Mediana,Chile,10002097,5,Publicidad,confiabilidad,PC
24,alta,Mediana,Chile,10002099,7,Publicidad,confiabilidad,Tableta
9,baja,Mediana,Chile,10002104,1,Publicidad,servicios,Movil
24,alta,Mediana,Chile,10002106,9,Publicidad,precio,Tableta
22,baja,Mediana,Chile,10002115,3,Publicidad,servicios,PC
15,baja,Mediana,Chile,10002116,2,Publicidad,precio,Tableta
20,alta,Mediana,Chile,10002120,6,Publicidad,confiabilidad,Movil
,baja,Mediana,Chile,10002121,4,Publicidad,confiabilidad,Tableta
,alta,Mediana,Chile,10002123,10,Publicidad,precio,PC
22,alta,Mediana,Chile,10002124,9,Publicidad,precio,Tableta
14,alta,Mediana,Chile,10002127,7,Publicidad,servicios,Movil
13,alta,Mediana,Chile,10002131,7,Publicidad,confiabilidad,Tableta
17,baja,Mediana,Chile,10002134,2,Publicidad,caracteristicas,PC
1,baja,Mediana,Chile,10002135,2,Publicidad,caracteristicas,Tableta
24,alta,Mediana,Chile,10002136,10,Publicidad,confiabilidad,Movil
6,baja,Mediana,Chile,10002137,5,Publicidad,servicios,Tableta
11,alta,Mediana,Chile,10002138,9,Publicidad,servicios,PC
16,alta,Mediana,Chile,10002139,7,Publicidad,servicios,Tableta
13,alta,Mediana,Chile,10002142,10,Publicidad,caracteristicas,Movil
23,alta,Mediana,Chile,10002148,10,Publicidad,servicios,Tableta
40,alta,Mediana,Chile,10002151,8,Publicidad,confiabilidad,PC
30,baja,Mediana,Chile,10002153,2,Publicidad,precio,Tableta
36,baja,Mediana,Chile,10002154,5,Publicidad,caracteristicas,Movil
29,baja,Mediana,Chile,10002155,5,Publicidad,caracteristicas,Tableta
8,baja,Mediana,Chile,10002157,1,Publicidad,confiabilidad,PC
39,baja,Mediana,Chile,10002160,1,Publicidad,confiabilidad,Tableta
23,baja,Mediana,Chile,10002161,5,Publicidad,confiabilidad,Movil
24,alta,Mediana,Chile,10002165,10,Publicidad,servicios,Tableta
24,alta,Mediana,Chile,10002173,9,Publicidad,precio,PC
28,alta,Mediana,Chile,10002174,7,Publicidad,caracteristicas,Tableta
14,alta,Mediana,Chile,10002175,9,Publicidad,caracteristicas,Movil
12,baja,Mediana,Chile,10002178,1,Publicidad,confiabilidad,Tableta
26,baja,Mediana,Chile,10002182,3,Publicidad,confiabilidad,PC
15,alta,Mediana,Chile,10002185,9,Publicidad,precio,Tableta
19,alta,Mediana,Chile,10002190,6,Publicidad,precio,Movil
2,alta,Mediana,Chile,10002197,10,Publicidad,caracteristicas,Tableta
43,baja,Mediana,Chile,10002209,4,Publicidad,confiabilidad,PC
29,baja,Mediana,Chile,10002215,2,Publicidad,diseño,Tableta
26,alta,Mediana,Chile,10002221,6,Publicidad,confiabilidad,Movil
,alta,Mediana,Chile,10002222,8,Publicidad,precio,Tableta
19,alta,Mediana,Chile,10002231,8,Publicidad,navegacion,PC
16,baja,Mediana,Chile,10002235,3,Publicidad,precio,Tableta
8,alta,Mediana,Chile,10002236,6,Publicidad,confiabilidad,Movil
3,baja,Mediana,Chile,10002246,5,Publicidad,precio,Tableta
16,baja,Mediana,Chile,10002248,1,Publicidad,confiabilidad,PC
3,baja,Mediana,Chile,10002249,2,Publicidad,confiabilidad,Tableta
5,alta,Mediana,Chile,10002254,6,Publicidad,caracteristicas,Movil
42,alta,Mediana,Chile,10002257,10,Publicidad,confiabilidad,Tableta
19,baja,Mediana,Chile,10002264,3,Publicidad,precio,PC
22,baja,Mediana,Chile,10002267,2,Publicidad,servicios,Tableta
44,alta,Mediana,Chile,10002269,7,Publicidad,otros,Movil
37,alta,Mediana,Chile,10002283,6,Publicidad,caracteristicas,Tableta
,baja,Mediana,Chile,10002284,4,Publicidad,caracteristicas,PC
25,baja,Mediana,Chile,10002285,4,Publicidad,confiabilidad,Tableta
15,alta,Mediana,Chile,10002286,9,Publicidad,confiabilidad,Movil
17,baja,Mediana,Chile,10002287,4,Publicidad,servicios,Tableta
31,alta,Mediana,Chile,10002289,10,Publicidad,precio,PC
47,baja,Mediana,Chile,10002290,1,Publicidad,servicios,Tableta
,baja,Mediana,Chile,10002292,1,Publicidad,diseño,Movil
,baja,Mediana,Chile,10002294,5,Publicidad,caracteristicas,Tableta
12,baja,Mediana,Chile,10002295,3,Publicidad,precio,PC
16,baja,Mediana,Chile,10002300,4,Publicidad,caracteristicas,Tableta
46,baja,Mediana,Chile,10002305,3,Publicidad,confiabilidad,Movil
38,alta,Mediana,Chile,10002306,7,Publicidad,caracteristicas,Tableta
48,alta,Mediana,Chile,10002309,8,Publicidad,caracteristicas,PC
46,baja,Mediana,Chile,10002313,1,Publicidad,uso,Tableta
48,baja,Mediana,Chile,10002319,5,Publicidad,confiabilidad,Movil
11,baja,Mediana,Chile,10002323,3,Publicidad,caracteristicas,Tableta
20,baja,Mediana,Chile,10002326,2,Publicidad,confiabilidad,PC
47,alta,Mediana,Chile,10002327,10,Publicidad,servicios,Tableta
34,alta,Mediana,Chile,10002328,7,Publicidad,velocidad,Movil
8,baja,Mediana,Chile,10002329,4,Publicidad,servicios,Tableta
27,baja,Mediana,Chile,10002331,1,Publicidad,caracteristicas,PC
,alta,Mediana,Chile,10002332,6,Publicidad,precio,Tableta
9,alta,Mediana,Chile,10002340,10,Publicidad,confiabilidad,Movil
36,alta,Mediana,Chile,10002343,10,Publicidad,precio,Tableta
42,alta,Mediana,Chile,10002346,7,Publicidad,precio,PC
36,baja,Mediana,Chile,10002347,1,Publicidad,confiabilidad,Tableta
17,alta,Mediana,Chile,10002348,9,Publicidad,precio,Movil
