Fecha,Canal,Subcriptores,Título,Link,Visualizaciones,Duración,Antiguedad,Antiguedad en dias,Cantidad de Visualizaciones x día,Conclusiones,Backstage,Sponsors
25/03/2026,Las Rutas de Juan,372000,"Barrio de San telmo (Buenos Aires) , mercado de antiguedades",https://www.youtube.com/watch?v=T03xmM6dGqk,33000,20:00,4 Años,1460,"22,60","Video Inicial. Recorre el lugar con información previa. Son videos videos variados, de interes general, Apto para todo publico, su target es el publico de latinoamerica","Edición económica y rápida de principiante, sin microfono adecuado, Camara de principiante o celular. Los problemas de mic hace que en algunas partes cueste entender y falle el subtitulado automático",No se detectaron sponsors
01/04/2026,Backdoor,5650000,El teniente harina,https://www.youtube.com/watch?v=aIjPhI5LDCU,89000000,3:02,6 Años,1460,"60958,90","Video con humor picante, sobre un policia con adicciones. Este video tiene muchas copias en youtube y otras plataformas, dificultando las metricas","Equipo de filmación completo y profesional, a nivel de una serie de TV",Promocionan su compania de teatro.
06/04/2026,Rama Jutglar,96600,Probé el Tren Más Lujoso de la Unión Soviética,https://www.youtube.com/watch?v=NRlXuAHwTAc,6265,31:09:00,2 horas,"0,1","62650,00","Video de aventuras, viaje en tren lujoso de Moscu a San Petesburgo, Rana Jutglar tiene varios canales en youtube.","Formato vlog, edición tercerizada","No se detectaron sponsors en este video, suele tener auspiciantes"
15/04/2026,Penny Rider,92700,"ASÍ tratan a una ""INFLUENCER"" en un evento de HONDA - Transalp 750 | Mendoza",https://www.youtube.com/watch?v=3hsNsCV96BU,45000,36:10:00,5 meses,150,"300,00",Refuerza la imagen comercial y corporativa de Honda! Muestra que hay influencers con contratos y otros freelance. Transmite sensación de uso del producto. Refleja situación situación emocional personal y el evento la motiva a seguir con ese estilo de vida.,Formatro vlog básico sin elementos extras,Honda
01/06/2026,Un Topo por el mundo,429000,Fuimos en TREN de BUENOS AIRES a SALTA | Tren Solidario,https://www.youtube.com/watch?v=oFVwGdch20k,113000,20:22,3 semanas,21,"5380,95","Viajero Youtuber, Recorre con el tren solidario el viaje de buenos aires a Tucuman",Formatro vlog básico sin elementos extras,HolaFly
01/06/2026,Un Topo por el mundo,429000,El único país de África que habla español (y casi nadie lo sabe) | Guinea Ecuatorial,https://www.youtube.com/watch?v=AtGzuadUFBo&t=1850s,751000,41:41:00,9 meses,270,"2781,48","Viajero Youtuber, Viaja a la isla africana de Anobon",Formatro vlog básico sin elementos extras,HolaFly
01/06/2026,Sebastian Villanueva,365000,ACÁ TERMINA MI VIAJE TRAS RECORRER AMERICA EN MOTO 🇦🇷 | Cap 250,https://www.youtube.com/watch?v=hoReAF3GbLg,170000,45:52:00,7 dias,7,"24285,71","Cierra de viaje a Alaska y retorno a buenos aires, recibimiento en multiitud y conclución final","Formato vlog aventura, con multiplies camaras y drone",Marcas varias del rubro
08/06/2026,Lagu Kita,3920000,Homónimos en inglés 1,https://www.youtube.com/shorts/kZGzlBOAI0s,24689000,0:00:20,39 días,39,"633051,28","Homonimos en Ingles, video viral infantil educativo, tiene enganche en publico adulto",No sabemos si es producto artesanal o IA,No se detectaron sponsors
08/06/2026,Sam and Mel English for Children,95400,Lesson 2 - Sam and Mel English for Children,https://www.youtube.com/watch?v=kYKfqa_zAQ8,1300000,8:27,11 años,4015,"323,79",Conversación en ingles básica,Video de estudio,No se detectaron sponsors
08/06/2026,Kidi Fun,11000000,Les mots composés en anglais 12,https://www.youtube.com/shorts/IkzBH0T2VLc,185000000,0:00:22,7 meses,210,"880952,38","Sustantivos compuestos en Ingles, formato short, video infantil con enganche en publico adulto",Video de estudio,No se detectaron sponsors
10/06/2026,Pablo Imhoff,1640000,Mi indumentaria para motos con bajo presupuesto - Pablo Imhoff,https://www.youtube.com/watch?v=4fjRQ9ZP2SY,216000,13:38,9 años,3285,"65,75",Pablo explica el equipamiento y ropa que utiliza en viaje,Video con camara estática,Sponsor de indumentaria
10/06/2026,Pablo Imhoff,1640000,Cuanto $$$ gano con youtube - Pablo Imhoff,https://www.youtube.com/watch?v=xtWHAlvki-s,250000,11:38,9 años,3285,"76,10",Pablo da tips para hacer y monetizar videos de youtube,Video con camara estática,No se detectaron sponsors
17/06/2026,Gaspi,3090000,GASPI conoce a SEÑORA con PROBLEMAS,https://www.youtube.com/watch?v=P0KGyhVCQdo,6800000,8:10,5 años,1825,"3726,03","Miramos el video, motivados por la muerte del youtuber Gaspi, Llama la atención el lenguaje vulgar y discriminatorio. Claramente es un influencer que logra su exito por medio de contenido polemico.",Videofilamación sencilla,No se detectaron sponsors
